Date,Ret_Lag_1,Ret_Lag_2,Ret_Lag_3,Ret_Lag_7,Ret_Lag_14,Ret_Lag_30,Close_to_MA_7,Close_to_MA_30,Close_to_MA_90,Vol_7,Vol_30,Mom_30,HL_Range,Volume_Change,Target,Close,DOW_Monday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday,Split
2018-07-09,-0.2920935941267005,-0.35977602995568764,0.7585842214956202,-0.6388010338375127,-1.1245815046131733,-2.0801922668605197,-0.0006297613179609145,0.022894349927591828,-0.924210632219515,-0.9262146766468838,0.24966871217163028,-0.7776289069165024,-0.6385111051189228,0.5471627253715778,-0.05666856936966447,6666.75,1,0,0,0,0,0,train
2018-07-10,-2.0433216899720885,-0.2917741005449412,-0.3598997730184814,0.3149441502022292,0.29568775972419403,0.41508059620384247,-1.1528940246486072,-0.4396650140425389,-1.1119745184114496,-0.2823421766831381,0.05159746143339681,-0.5832820733531645,0.48454101677303363,0.4074532758369962,0.012704181918605784,6299.46,0,0,0,0,1,0,train
2018-07-11,0.3524593277884907,-2.0424823028785246,-0.29191939589935356,-0.35270809460248237,-1.7389460647891062,-1.7417429329265581,-0.7808634243412409,-0.3116269258975849,-1.0627129871619496,-0.27608155711511007,0.049687683453892316,-0.5916376476875468,-0.983877864256375,-0.5931814093643692,-0.021566313337901377,6380.0,0,0,0,0,0,1,train
2018-07-12,-0.8310687935572794,0.3525874705788177,-2.042072734951224,0.24327937449199055,1.9494668177525125,-1.426288084254466,-1.1119296938138683,-0.47816781302310807,-1.1258650388689964,-0.23193774833855899,-0.006515295171508428,-0.4721486899955698,-0.017095987798912617,0.3345516288058686,-0.0045411319447872245,6243.88,0,0,0,1,0,0,train
2018-07-13,-0.2431058592913269,-0.8305892924300309,0.35223795354115345,0.7573662794114542,0.9071582126334243,1.7150720108696833,-1.0290184100448818,-0.5117114441774896,-1.1322409244750566,-0.2812035848306666,-0.05360154020730757,-0.31720369057529196,-0.46610487247325233,-0.4526908859590054,0.004557147499093972,6215.59,0,0,0,0,0,0,train
2018-07-14,0.07110231007123713,-0.2428009088781927,-0.8305638175982937,-0.3603208436706492,-0.27961198085445615,-1.4362835097398163,-0.6794820724748039,-0.4567871058539535,-1.1073396203295094,-0.4658246846470734,-0.15089117329554547,-0.5324612909891839,-0.8587779035913538,-1.351480512106385,0.016726771034564436,6243.98,0,1,0,0,0,0,train
2018-07-15,0.4913790400284973,0.07131398035199153,-0.24296172562321033,-0.29238889962765685,1.3121097240878947,0.43423378383148975,-0.1285360243045991,-0.3151321690180072,-1.0437570559021327,-0.3325502021103311,-0.19088381585206182,-0.28033091097221646,-0.7163291406286133,0.5274536194175274,0.056898333857763106,6349.3,0,0,1,0,0,0,train
2018-07-16,1.8786999387726255,0.4914659412140175,0.07105360914207746,-2.0412953301816437,-0.6377978006345963,-0.2699198704200356,1.1622416871349686,0.16775401142466817,-0.841959215899686,0.22256572855204562,-0.08729374098911476,-0.09196393545041814,0.3957009566972869,1.6000769883863766,0.08409749180269444,6721.04,1,0,0,0,0,0,train
2018-07-17,2.104122452904101,1.8783749809114805,0.49107240852378864,0.3513095155840203,0.31513863302159845,1.243652163956975,2.19757100557247,0.9069200961960654,-0.5260577257640012,0.3129821085447079,0.12557369281318956,0.3111952954929449,1.88282984422098,0.4974094617715731,0.008739234638939664,7310.71,0,0,0,0,1,0,train
2018-07-18,0.21553027059176857,2.104569239459623,1.8775418861627782,-0.8306495604916075,-0.35194746055310133,0.06242107249239859,2.19757100557247,0.9581490375038734,-0.48705458781343586,0.3231744351350622,0.08826608182392759,0.17650176412471988,-0.029493131862481602,0.08494725849386238,0.013005443880306444,7374.88,0,0,0,0,0,1,train
2018-07-19,0.36286337946314,0.21569906401383393,2.1054528106341635,-0.24346610957243014,0.2435346271226389,0.016143816128921934,2.026622342949177,1.0480823033568292,-0.42794554470245266,0.0704161401396979,0.09118962998311587,0.21566901430536545,-0.33329094105365914,-0.6796968789798363,-0.018994967910270333,7471.42,0,0,0,1,0,0,train
2018-07-20,-0.7422676367453607,0.36298843356446353,0.21539293190484815,0.07032550285913526,0.757185600109247,-0.2817637091531024,1.0080653073527295,0.8355039324919046,-0.49335946090995236,0.2145318827316538,0.10644741669944421,0.11663446179119244,0.2789143446760021,0.10772317359936191,0.010729536151291796,7330.84,0,0,0,0,0,0,train
2018-07-21,0.28426513398358066,-0.7418144983434345,0.3626356200822819,0.49004505702699347,-0.3595537542138577,-2.0801922668605197,0.7049962629613954,0.9046908458153693,-0.44335226130884225,0.18767668222612757,0.10596997230440236,0.1905971248777158,-0.5152481751875411,-1.3750412605831959,-0.001799207861568064,7409.92,0,1,0,0,0,0,train
2018-07-22,-0.14841378569285973,0.28441352183449453,-0.7418171594817662,1.875526735177133,-0.2916794146408216,0.6287299305061774,0.18391158090142076,0.8216005243954875,-0.44142802020209465,0.263842434109914,-0.30432304757616313,0.6545112227995793,-0.5180782912657785,0.38475419679710493,0.0427447048604499,7396.6,0,0,1,0,0,0,train
2018-07-23,1.3899057788973186,-0.14813694686313378,0.2840856116076496,2.1058938619872825,-2.039102819361317,-0.2201967647152175,0.7241218869888782,1.1620339444290184,-0.25734968192342383,0.15516583561595576,-0.26359647250564533,0.7536124011086869,0.1803189780840581,1.4824149394664283,0.08492241428824343,7719.62,1,0,0,0,0,0,train
2018-07-24,2.104122452904101,1.3897259311522858,-0.1483277660703285,0.21456199010223131,0.3514731615470756,0.4700592765906461,2.19757100557247,1.9196109603048719,0.11176146435767267,0.1696319095924512,-0.06527673588342683,1.1539814520086864,1.4208495075931038,0.6561753125168389,-0.02772182885293084,8403.83,0,0,0,0,1,0,train
2018-07-25,-1.043648905367431,2.104569239459623,1.3890477071096177,0.36169977423780597,-0.8294836448740264,-1.123856564767409,1.2317916187437057,1.5298075142791892,-0.004096418798377939,0.4173143609243614,-0.02009868228022378,0.9561861307098675,0.06817180376745108,-0.9684842082017624,-0.03081723069434439,8174.06,0,0,0,0,0,1,train
